,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
281,NZL_2016,70.5254237,68.18909,98.91787,97.93966,81.3,47.36425,NA,83.4,19.73116,48.67068
282,POL_1992,0.8537549,59.92142,NA,97.0637,80.5,45.53693,NA,75.7,12.44612,48.28176
283,POL_1996,4.1298701,61.04451,NA,97.89002,84.1,45.53523,NA,76.6,13.58532,48.55648
284,POL_2000,13.2484472,66.97433,96.73522,98.30924,86.3,45.9137,NA,78,15.14991,48.41222
285,POL_2004,7.5789474,66.96565,94.0223,98.43296,87.7,45.39368,NA,79.2,15.41631,48.59428
286,POL_2006,0.5964912,66.83742,93.48631,98.41492,87.3,44.9478,NA,79.6,15.53387,48.57903
287,POL_2008,7.4585635,66.71678,93.63049,98.43806,86.1,44.72514,NA,80,15.63083,48.49295
288,POL_2010,16.2666667,67.06568,94.79059,98.50238,85.9,45.04655,NA,80.6,16.11476,48.50548
289,POL_2012,8.4206897,67.3991,95.37031,98.5667,86.7,45.13553,NA,81.1,16.16517,48.75597
290,POL_2014,16.3289474,67.60883,95.38248,98.63178,86.8,45.16178,NA,81.7,16.84506,48.74074
291,POL_2016,22.1036585,67.71432,95.69158,98.69686,86.8,45.02698,NA,81.6,17.26445,48.92037
292,PRK_1992,4.48,74.80007,NA,99.8245,77.65,49.00279,NA,72.723,NA,NA
293,PRK_1996,2.826087,74.20428,NA,99.86522,79.21,48.48889,NA,69.253,NA,NA
294,PRK_2000,4.952381,74.32161,NA,99.89256,80.13,48.29688,NA,68.967,NA,NA
295,PRK_2004,22.95,74.886,NA,99.9168,80.01,48.1562,NA,71.461,NA,NA
296,PRK_2008,30,80.0522,NA,99.94256,80.06,48.08485,99.99761,72.176,NA,NA
297,PRK_2012,25.8823529,75.51947,NA,99.9688,80.43,47.92509,NA,73.754,NA,NA
298,PRK_2016,23.0769231,75.93317,NA,99.97136,80.9,47.79033,NA,75.071,NA,NA
299,ROU_1992,71.5270936,64.8428,NA,95.1832,84.9,46.39921,94.98269,73.17,10.48052,48.78401
300,ROU_1996,71.0496894,64.52215,90.34617,95.77088,87,45.83533,NA,73.1,10.92187,48.68081
301,ROU_2000,143.483871,65.31372,92.51812,96.13686,86.9,46.4795,NA,74.8,11.89869,48.4629
302,ROU_2004,126.8842105,66.32352,98.79658,96.20714,86.7,45.13453,NA,75.3333,13.74404,48.34908
303,ROU_2008,45.047619,65.58999,94.39831,96.14776,84,44.38535,NA,76.1,15.78886,48.30965
304,ROU_2012,19.5853659,65.43077,91.64579,96.3648,84.8,44.10656,NA,78.1,14.76772,48.23052
305,ROU_2016,47.2826087,65.11335,90.09585,96.62792,84.2,43.22213,NA,78.7,14.61818,48.32939
306,RUS_1994,55.5483871,74.44948,96.85193,95.48864,86,47.53092,NA,71.73,NA,49.09537
307,RUS_1996,60.6238245,75.86188,NA,96.15948,87.3,47.58802,NA,72.4,NA,NA
308,RUS_1998,49.1803279,76.34553,NA,96.64366,87.68,47.92846,NA,73.13,NA,NA
309,RUS_2000,215.6846847,70.86556,NA,96.94118,88.05,48.4866,NA,72.26,NA,48.59
310,RUS_2002,21.4347826,75.51448,NA,97.2387,87.14,48.95819,99.22836,71.9,NA,48.62162
311,RUS_2004,223.7957317,76.31296,NA,97.17158,86.56,49.16025,NA,72.36,NA,NA
312,RUS_2006,47.1104651,66.24121,93.62212,97.10446,86.95,49.4563,NA,73.34,14.35337,48.86224
313,RUS_2008,244.2857143,66.29939,95.35748,97.12832,84.98,48.97337,NA,74.28,14.5199,48.85664
314,RUS_2010,23.8823529,80.99332,NA,97.24316,84.33,48.86566,99.64778,74.88,NA,NA
315,RUS_2012,248.9548872,66.73711,97.96649,97.358,83.09,48.8913,NA,75.86,15.04911,48.94487
316,RUS_2014,50.6666667,66.64185,97.00675,97.55268,82.5,48.71672,NA,76.47,15.26861,48.97821
317,RUS_2016,284,66.96974,98.17303,97.74736,82.5,48.62317,NA,76.93,15.86063,48.954
318,SGP_2008,15.9230769,72.25323,NA,99.44494,87.2,43.13631,NA,83.3,NA,48.18488
319,SGP_2012,8,81.89246,NA,99.6091,87.1,44.09362,94.35959,84.3,NA,NA
320,SRB_2012,3.6521739,66.24076,96.36295,97.9014,85.5,43.27413,NA,77.5,14.60032,48.54649
321,SRB_2016,42.3428571,70.81886,99.22081,98.06948,85.4,44.1964,98.22828,77.8,15.09282,48.54306
322,SVK_2000,2.25,61.55732,NA,97.67124,87,45.59097,NA,77.2,13.35281,48.52892
